title,reviews
신은 죽지 않았다 (God's Not Dead),"영화 내내 사악하고 오만하고 독선적인 무신론자 교수는 

착하고, 독실하고, 예의바르고 잘생긴 1학년생에게 철저히 농락당한다. 

실제 토론의 내용 보다 

무신론자 교수가 얼마나 오만하고 독선적인지.

크리스천 학생이 얼마나 성실하고 독실한지 보여주는 내용이 더 길다.

토론은 무신론자 교수의 주장은 아예 보여주지도 않고, 단지 크리스천 학생의 논리적인 주장에 

가끔씩 오류가 가득한 말을 내뱉다가 철저히 역관광 당하는게 전부다.

영화 말미에 가선 더 가관, 

무신론자들을 신을 싫어하는 사악한 무리들로 바꿔버리더니,

결국 우리의 사악한 무신론자들은 갑자기 암에 걸리거나, 교통사고로 죽어버리며,

영화 초반부터 등장해 신의 기적으로 오디션에 가지 못한 목사들은

마지막 장면에 이르러 교통사고로 죽어가는 무신론자 교수를 만나게 되는데

119를 불러주질 못할망정, 죽어가는 사람 앞에서 지금 당장 개종하지 않으면 지옥불에 떨어질 것이라고 협박한다.

그것은 암에 걸려 개종하는 무신론자 기자도 마찬가지,

영화는 이렇듯 어떠한 철학적 담론도 없이

예수천국 불신지옥을 외치며 기독교적 오르가즘을 느끼는데 대부분의 시간을 할해한다.

결국 무신론자들이 모두 죽어버린 그들만의 파라다이스에서

모두가 크리스천 학생을 찬양하면서 해피엔딩으로 마무리.

줄거리와 전혀 상관 없지만, 차도르를 쓰거나 성경을 읽다가 쫒겨나는 무슬림의 모습을 보여주며

깨알같은 이슬람교 비판은 조미료로 첨가.

오로지 크리스천들이 정신적 오르가즘을 느끼기 위해 만들어진 영화"
신은 죽지 않았다 (God's Not Dead)," 그냥 안보는게,,,

오글거린다. 뭔가 철학적 담론이 왔다갔다 하길 기대한다면..
착각,

이 학생은 억지스러운 주장을 늘어놓는데, 왜 그것에 말리는 전개로
되는지 웃기기도 하다. ㅋㅋㅋ

니체의 신은 죽었다의 의미조차 모른다. 신이 죽은건 애초 유신론에 기초된 이야기이고
기독교적 신도 아니다. 현대에서의 신의 가치가 더이상 존재감이 없는 시대를 말하는것이다.

무신론에 대해 잘 알지도 못한다.,,,더욱 과학을 알지못한다.
손가락 오그라들고 싶으면 보라,,, 그냥 기독교도들이 정신승리주장하는 영화이다.

마지막에 시한부환자가 기도하고 그냥 기쁨을 얻는다. ㅋㅋㅋ
거기에 어떤 철학적 고뇌도 없다."
신은 죽지 않았다 (God's Not Dead)," 당신은 안티크리스쳔이라면 왜 안티크리스쳔이 되었는가?
당신은 무신론주의라면 왜 아무 것도 믿지 않는가?
당신은 크리스쳔 이면서 왜 아무런 색깔도 드러내지 않는가?
이런 질문들에 대하여 곰곰히 생각해 볼 수 있는 영화이다.
 안티크리스쳔이라면 꼭 봐야할 영화!
왜 안티가 되었는지, 진정한 크리스쳔과 그렇지 않은 크리스쳔을 다시 한 번 생각해 볼 수 있는 영화~
 무신론자이면 꼭 봐야할 영화!
왜 무신론에 대한 자신의 이유들을 다시 한 번 생각해 볼 수 있는 영화~
 신앙인들이면 꼭 봐야할 영화!
무신론, 자유주의, 동성애 등 복음이 무너지고 있는 이때 기독교인이라면 반드시 봐야 할 영화~
 결국은, 모두가 봐야할 영화!"
신은 죽지 않았다 (God's Not Dead),"    갓즈 낫 데드
    갓즈 낫 데드
감독
해롤드 크론크
출연
케빈 소보, 데이빗 A.R. 화이트, 딘 케인, 쉐인 하퍼
개봉
2014 미국
평점
리뷰보기
실화를 바탕으로 만들어진 영화, 갓즈 낫 데드
God's not dead!
예전부터 흘러흘러 들어본 이야기다.
영화를 보면서 나는 크리스천으로 봐서 그런지,
주인공의 용기에 놀랐다.
물론 픽션인 스토리들도 우연성으로 간주했으나,
충분히 있을 법하기도 하다.
저예산 영화로 미국에서 1위를 달리고 있는 영화 갓즈 낫 데드!
하나님이 일하심같다.
용기있는 주인공도!
이렇게 영화를 만들기로 한 제작자들도!
주님은 이런 사람들을 찾고 계시지 않을까 싶다.
예수그리스도의 증인 된 삶!
       "
신은 죽지 않았다 (God's Not Dead)," 이 영화의 실화를 기반으로 했으며 소설로도 먼저 출판되었는데
 왕밍이란 사람도 무신론자이고 교수도 무신론자입니다.
왕밍 : 신은 있다 , 교수 : 신은 없다 로 수업내내 치열한 토론을 벌인후
왕밍은 신(기독교)을 믿게 되며 이 토론은 미국내에서 유명해집니다.
 예수님은 아버지께서는 악한 사람에게나 선한사람에게나 똑같이 햇빛을 주시고
 옳은 사람에게나 옳지 못한 사람에게나 똑같이 비를 내려주신다.
 라고 하시면서  모두가 귀한 사랑을 받는 사람인것을 강조하셨습니다.
 여기서 모두 = 기독교인 이 아니라는 뜻입니다.
 신은 죽지 않았다는 이에 반해 기독교 우월주의관점으로 만들었기에
 구성과 수준 설득력은 매우 낮은편입니다.(중간에 CCM 찬양 몇몇 영상 괜찮은 정도입니다.)
 신의 존재유무에 대해서 서로 치열하게 토론하고 시간이 지남에 따라 무신론자였던 주인공이
 결국 신을 믿게된다는 실화 그대로가 설득력이 있고 감동이 있습니다.
 영화에서 기독교신자 VS 무신론자  구도를 하나의 축으로 만든것은 기독교인들의 믿음을
 상업적으로 이용하려는 시도입니다. 그리고 상업적으로 성공했죠.
 하지만 결국 남는것은 ""불신지옥"" 이라는 네글자입니다.
  로마카톨릭에서도 패스할정도로 종교적 관점이 편협한 영화이지만...
    사이비개독들은 보면 열광할만한  영화입니다.
 진정한 기독교인이라면 차라리 2006년도 작품인 "" 믿음의 승부 "" 라는 작품을
 추천해드립니다."
신은 죽지 않았다 (God's Not Dead)," 믿음은 영화나 글, 과학적으로 설명되어질 수 가없습니다. 가시적인 것도아니며, 논리적으로 그 100%의 것을 이해할 수 없지요... 우리가 사는 세계에서 누군가 자신이 있었던 진실된 사건을 말하려한다한들 누군가는 그 사건을 진심으로 믿겟지만, 누군가는 의심만 가지고 그 일들을 분석하려하겠지요

이 영화 또한 마찬가지입니다.
 영화는 픽션과 펙트를 기반으로 모두 제작되어지는 것이 우리가 알고 있는 ""영화""입니다.
그러나 성경을 토대로한 복음을 전하는 영화는 크리스천의 입장에서는 ""펙트""를 기반으로 만든 영화겠지요
 일반대중들이 이 영화가 픽션이냐 펙트냐중점을 두며 본다면 이 영화는 그저 영화로서의 분석, 과학적, 논리적 잣대에 조명되어질 수 밖에 없습니다.
 기독교가 배타적이라는 말을 많이 듣습니다. 또한 현시대에 조명된 기독교는 큰교회의 목사들의 윤리적인 타락과 부패로 인해 비난받고 있는 것이 사실입니다. 
 그러나 이 또한 성경에서는 거짓 선지자와 참선지자가 있다는 것을 조명해주고 있고 이런 삯꾼(약쟁이)들의 말에 미혹되지말라고 경고합니다.
 유일신사상을 토대론 둔 영화라고 보는 것 자체가 분석하려는 안경을 쓰고 보는 것과 다름 없습니다.
기독교가 배타적으로 ""보일 수 밖에 없는 이유""는 유일신사상이라는 일반사람들이 말하는 이념적이나 교리적, 사상적인 것이아닌, 유일신은 진리이기 때문입니다.
위에서 언급한대로 특정 사건이 진실이라면 그것을 누군가에게 설명했을때 믿는사람과 믿지 않는 사람이 있다 하였습니다.
 세상에 그 어떤 것 지극히 사소한 것이 아닌이상 우리가 100% 있는 그대로 오리지널 지식을 갖고 있는 것은 드뭅니다. 특히나 이런 종교적인 이념으로 비춰질 수있는 것은 더더욱 그렇지요
 우리가 알고 있는 과학 또한 있는 그대로를 해석하고 전하는 진리의 모양이 있는가하면 사이비과학설이 있음을 알아야합니다. 이를테면 ""빅뱅이론"", ""진화론"" 등 설이나 론으로 끝나는 것은 검증되지 않은 과학설입니다. 그에 반해 ""만유인력의 법칙"", ""관성의법칙"", ""질량보존의 법칙""이라는 법칙으로 끝나는 것은 원인과 결과가 뚜렷한 과정에서 검증된 과학이라는 것을 우리는 알아야합니다.
 이 영화는 리뷰라는 분석의 글로 조명되어지기에는 아깝습니다.
영화를 보고 1%의 양심의 변화와 감동이 있는분이 있다면 성경을 보시기를 권해드립니다.
분석하고 헛점을 찾기보다는 그것이 어려운 분들에게는 감동의 요소로 접근하는 것도 좋은 방법일 것입니다.
 하나님이 마음에 부재된 인간은 결코 완전하지 않습니다.
그것은 우리의 ""양심""만 속이지 않으면 결코 우리가 죄인이라는 것을 깨달을 수 있습니다. 죄책감과 감정을 이용해 낚으려고하는 술수가 아닌, 인간은 태초부터 그렇게 설계되어있는 것입니다.
 대부분의 리뷰들이 무신론자 측에서 변호하는 글들이 많은 것 같아 안타까운마음에 이 리뷰를 적습니다.
세상이 기독교세상이라 하고 유일신의 풍토속에서 니체의 말이 그렇게 밖에 나올 수 없었다는 것 또한 색안경을 끼고 바라보고 있음을 직시해야할 것입니다.
 물론 무신론자들의 입장에서는 기독교 또한 색안경을 끼고 광신에 미쳐있다 생각하고 있다는 것을 이해하지만, 광신이 아닌, 진리 그대로를 말씀드리면,
 사람은 믿음으로 사는 '영적존재'이며, 그 믿음이 무너지면 죽게됩니다. 그것이 태초의 인간이였습니다. 태초의 인간은 하나님만 믿고 사랑하며 사는 영적존재였지만, 그 믿음이 선악과라는 타락의 열매로 변질되어 다른믿음(세상적인 믿음, 즉 하나님을 마음에 두기 싫어하는 죄성)을 갖게 되었습니다.
 혹 이 영화를 보기전에 리뷰를 보셨다면 무한한 가능성에 대해 마음을 열고 보시는 것을 추천해드립니다.
 포스트모더니즘이라는 것을 전적으로 부인하고있고, 좋아하지 않지만, 상대주의적가치이념을 어째서 기독교라는 진리에 대해서 전하려한다면 사람들이 눈에 불을켜고 혈안이되어 거부반응을 보이는 것일까요? 단지 기독교가 배타적인 종교라는 것 때문? 아니면 부패한 목사들의 윤리적 폐단? 물론 그런것 때문에 영향도 있다고 생각합니다.
 하지만 사람은 그 어떠한 것보다도 하나님의 말씀을 마음에 두기를 싫어합니다. 하나님을 믿는다고 자칭하는 사람들 또한 여전히 그런 유혹에 노출되어있고 또 그렇게 살아하는 사람도 있을 것입니다. (원죄는 없어지지 않기 때문)
 우리의 양심만 속이지 않는다면 우리의 마음이 죄악된 쾌락의 것으로 쫓아가는 것은 불가항력으로 다가가지만, 선한 것을 쫓아가려하면 어렵다는 것을 인정하던 안하던 모두가 느낄 것 입니다.
 기독교의 본질을 이론적이게나마 빠삭하게 아신다면 기독교에서 가르침은 나쁜것을 가르치는 것이 아닙니다. 이 영화는 그런 점에서 특별한 오류가 없다고 생각합니다. 있는 그대로를 조명하는 것이니까요
 부디 마음을 열고 보신다면 우리의 마음을 두드리는 하나님을 체험하실 수 있다고 저는 확신합니다."
신은 죽지 않았다 (God's Not Dead),"왜냐하면 신은 살아있으니까? 악이 존재하는 순간 늘 아니 당신이 존재하듯 당신을 만든 신은 존재하니
더이상 명백한 증거도 없으니 말이다. 창조주 신이 없다면 이미 아무것도 없다. 세상에 우연이란 없다. 이미 존재한 신이 없을 수 없다. 왜냐하면 우리는 죽으니까! 죽지 않는다면 신이 필요없고 존재하지 않겠지만 말이다. 선택의 연속 어차피 인생은 B에서 D이다. 늘 선택해야 된다. 신을 선택하라 하지 않는다. 난 단지 난 선택할뿐이다. 세상에 무신론자는 없다. 점이나 토종비결 아니면 감이든 우리는 보이지 않는 무언가를 생각한다,. 무신론자는 없다. 단지 반신론자가 있을뿐이다."
신은 죽지 않았다 (God's Not Dead),"이 영화는 실화를 기반으로 했으며 소설로도 먼저 출판되었는데 실화에서는
왕밍이란 사람도 무신론자이고 교수도 무신론자입니다.
왕밍 : 신은 있다 , 교수 : 신은 없다 로 수업내내 치열한 토론을 벌인후
왕밍은 신(기독교)을 믿게 되며 이 토론은 미국내에서 유명해집니다.
예수님은 아버지께서는 악한 사람에게나 선한사람에게나 똑같이 햇빛을 주시고
옳은 사람에게나 옳지 못한 사람에게나 똑같이 비를 내려주신다.
라고 하시면서 모두가 귀한 사랑을 받는 사람인것을 강조하셨습니다.
여기서 모두 = 기독교인 이 아니라는 뜻입니다.
신은 죽지 않았다는 이에 반해 기독교 우월주의관점으로 만들었기에
구성과 수준 설득력은 매우 낮은편입니다.(중간에 CCM 찬양 몇몇 영상 괜찮은 정도입니다.)
신의 존재유무에 대해서 서로 치열하게 토론하고 시간이 지남에 따라 무신론자였던 주인공이
결국 신을 믿게된다는 실화 그대로가 설득력이 있고 감동이 있습니다.
영화에서 기독교신자 VS 무신론자 구도를 하나의 축으로 만든것은 기독교인들의 믿음을
상업적으로 이용하려는 시도입니다. 그리고 상업적으로 성공했죠.
하지만 결국 남는것은 ""불신지옥"" 이라는 네글자입니다.
로마카톨릭에서도 패스할정도로 종교적 관점이 편협한 영화이지만...
사이비개독들은 보면 열광할만한 영화입니다.
진정한 기독교인이라면 차라리 2006년도 작품인 "" 믿음의 승부 "" 라는 작품을
추천해드립니다."
신은 죽지 않았다 (God's Not Dead),"<신은 죽지 않았다> 
언제까지 이런 이야기에 속아드려야 합니까
★★


해롤트 크론크 연출, 쉐인 하퍼, 케빈 소보등이 주연을 맡은 영화 <신은 죽지 않았다>를 감상하였습니다. 믿기지는 않지만, 미국에서 2014년 개봉하여 박스오피스 4주간 10위권의 성적을 유지했다고 하네요. 이 영화는 타이틀에서 알 수 있듯이, 미국에서 실제로 있었던 일을 소재로 각색한 종교영화입니다. 

이런 성향의 영화를 비평하는데 있어 필자가 기본적으로 어떤 가치관을 가지고 있는지가 매우 중요하기 때문에 밝히자면, 믿음의 크기를 논하기 이전에 저도 꽤 오랫동안 신앙생활을 한 '신앙인'입니다. 하지만, 본인은 신이라면 몰라도 교회가 정당한 비판조차 허락되지 않는 신성 불가침 영역은 아니라고 생각하는지라, 다소 신앙인의 자세에서 비판의 시각으로 이 영화를 비평했음을 미리 밝힙니다 .
  ﻿이제는 이러한 패러다임에서 벗어나자! 
영화는 철학과 교수와 학생의 '무신론vs유신론' 논쟁을 다룬것으로 알려져있지만, 무신론을 믿는 철학과 교수 '라디슨'과 유신론을 믿는 '조쉬'의 논쟁에 대한 에피소드에 더해서 무슬림집안에서 태어났지만 크리스찬이 되고자 하는 '아이샤'의 이야기, 그리고 평생 신의 존재를 부정해온 '에이미'의 이야기가 엉켜있는 '옵니버스형식'의 영화였습니다.

세번의 걸친 논쟁끝에 철학과 학생들은 조쉬의 손을 들어주는데다, 알고보니 라디슨 교수는 한때 그 누구보다 강인한 믿음을 갖고있었던 유신론자라는 사실까지 알아내죠. 크리스챤이 되고자 했던 무슬림 아이샤는 가족의 핍박으로 인해 결국 집을 나오게되고, 평생 신의 존재를 부정한 에이미는 암에 걸려 시한부 인생을 살게됩니다. 결국 끝까지 신의 존재를 부정한 라디슨교수는 갑작스런 교통사고로 사망에 이르고, 조쉬와 아이샤에 더해 신을 믿게된 미나는 행복에 겨워 유명 워십 콘서트에 모이게 된다는 은혜로운(?) 이야기..

'아멘'이라도 해야할까요?

언제까지 이러한 패러다임에 갖힌 종교영화에 속아줘야 합니까. 영화라면, 우리가 살고있는 현실에 대한 냉정한 진단이 뒷받침되던지, 아니면 더 높은 이상향을 지향하는 포부정도는 가지고 있어야지요. 에수님의 삶을 본받으라고 배웠고, 가장 중요한 덕목은 사랑이라고 배운 사람들의 머리속에서, 믿는사람은 행복, 안믿는사람은 불행, 핍박이라는 낡아빠진 공식의 영화가 나왔다는 것에 경악을 금치 못하고, 이 영화의 타겟이 이 시대 청년이라는 점에 두번 놀랐습니다.

배경만 현대로 바꿨을 뿐, 전개는 창세기 뺨치는 데우스 엑스 마키나급 전개를 따르니, 이럴거면 아예 성격적 역사관에 입각한 <패션 오브 크라이스트>같은 작품이나 한번 더 만드는게 낫겠네요. 대체, 예수님의 삶을 지향하자는 데에 입각한, 믿는 자들의 고난을 다룬 영화는 언제쯤에 볼 수 있을까요?
 
신은 죽지 않았다
감독
해롤드 크론크
출연
쉐인 하퍼, 케빈 소보, 트리샤 라파체, 코리 올리버, 하딜 싯투
개봉
2014 미국
평점
리뷰보기"
신은 죽지 않았다 (God's Not Dead),"분명 제 글을 읽고 무작정 저를 물고뜯고 할 사람들이 있다는 건 알지만 그래도 영화 평점 믿고

기대하고 봤다가 통수를 제대로 맞아서 화가나서 리뷰를 남깁니다.

유신론자와 무신론자의 치열한 논쟁을 기대하면서 생각할 거리를 만들기 위해

이 영화를 보았지만 이 영화의 총평을 하자면

   영화 내내 유신론 무신론의 차원이 아니라 그냥 기독교가 왜 짱짱맨인지 부르짖었지만
그로 인해 오히려 기독교가 노답이란것을 절실히 깨닫게 해 준 영화 입니다.

 제가 맘에 안들었던 점이 한 두가지가 아니지만 우선 주연급에 해당하는 교수와 조쉬외에
조연 중에 이슬람 신자의 딸이지만 기독교를 몰래 믿고 있는 역할이 나옵니다. 굳이 이 역할이
왜 있었어야 하는지 이해가 안 갑니다.  이 역할로 인하여 이 영화에서 유신론이냐 무신론이냐에
대한 논쟁 자체의 설득력이 떨어지게 됩니다. 만약 신이 존재한다 쳐도 이 영화에서 주장한 신은
그저 '기독교의 신'일 뿐이죠 그런데 왜 신이 하필 기독교의 신만 존재 해야하는 건가요?? 왜 기독교만 맞고 타 종교는 틀린거죠? 이에 대한 추가적인 논쟁거리만 머릿속에 불러 일으킬 뿐이었죠.

   또 조쉬와 교수간의 논쟁에 대해 이야기를 하자면, 초반에는 정말 좋았습니다. 초반에 한 학생이
신이 무엇인가를 창조하였다면 신은 누가 창조하였느냐 에대한 질문에 답으로 조쉬는
 그렇다면 우주는 누가 창조하였느냐 ,즉 그 반박에 대해서 답할 수 는 없지만 무신론자들 역시
제대로 된 답을 할 수 없을것이다. 라고 합니다.  게다가 여기서 교수는 스티븐 호킹의 우주는
중력의 법칙 (뭐 찾아보니 단순히 중력의 법칙이라기보단 M법칙이 더 맞는 말이더라구요) 이 있음
으로써 스스로 창조 될 수 있다. 이에 대해 어떻게 생각하느냐 라며 정곡을 찌르는 질문을 하죠
 이 초반부분을 보면서 이 영화 진짜 재밌겠구나라고 생각했지만 그냥 이게 전부였습니다.
감독이 이 이후에는 귀차니즘에 빠진것이 아닐까 할 정도로 말이죠
   정말 어이없는 것이 최고의 권위를 자랑하는 철학 교수란 사람이 이 이후에는 제대로 된 반박조차
하지 못한다는 점입니다. 조쉬가 선한 신이 존재한다면 왜 악이 존재하냐는 물음에 대한 반박으로
'자유의지' 라는 진짜 어이없는 대답을 하였는데 이에 대하여 교수가 제대로 된 반박조차 하지 않습니다. 저같이 철학에 대해 그냥 입문서 몇권이랑 좋아하는 철학자의 책 몇권밖에 못 읽어본 사람도
자유의지라는게 존재하는지 자체부터가 논쟁거리란 것은 알고있습니다. 즉 교수가 자유의지에 대해
딴지를 걸어야 함에도 구하고 제대로 된 반박조차 하지 못하죠, 이것 뿐만이 아닙니다. 조쉬는
신이 필요한 이유 중 신이 없다면 윤리적 잣대가 존재할 수 없기 때문이다라고 하는데 옳고 그름을
분간하는 기준이 반드시 신이여야 할 필요가 있을까요? 이에 대한 교수의 반박을 기대 하였지만
교수는 조쉬가 기세를 타서 '왜 신을 미워하냐'라는 질문에 굴복하는 어이없는 장면을 보여 줄 뿐입니다.
 또 이 영화도 인정하지만 결국 조쉬는 아무것도 증명해내지 못합니다. 신이 존재한다는 증명이 아니라 마지막에는 윤리적 잣대나 자유의지를 들먹이며 신이란 이래서 필요하다. 뭐 믿느냐 안믿느냐는
니네 몫인데 나는 믿는다. 라는 결론을 내립니다. 이게 유신론자의 한계이고 뭐 무신론자도 크게
다를 것은 없으므로 어쩔 수 없는 결론이지만. 여기에 학생들이 무슨 죽은 시인의 사회따라하는 것도 아니고 갑자기 전부 일어나면서 신은 죽지않았다라며 오글거리는 장면을 만들어냅니다.
  이런 엉성하고 말도 안되는 영하과 9점대라는거 자체가 기독교인들은 반성해야 합니다. 제가
정말 싫어하는 기독교 논리는 성경에 모든 답이 있고 이해가 안 간다면 니가 우매하기 때문이다.
인데 이를 이용해 자신의 논리가 막히면 신을 들먹이며 니가 이해 못하니까라며 말도 안되는 억지만
피우는데 이 영화가 딱 그런 영화입니다. 진짜 보면서 불쾌한 기분밖에 못느꼈습니다. 제발 이런
선교용 영화 좀 안 만들었으면 좋겠습니다.  예수는 이런말을 했죠 '카이사르의 것은 카이사르에게
예수의 것은 예수에게'  이게 여기서 적합한 말은 아니지만 무신론자는 그냥 무신론자대로 유신론자는 그냥 유신론자대로 삽시다."
